,created_at,text
0,Sat Dec 05 19:10:45 +0000 2015,RT https://t.co/sTrnzhXQAu Over 100 kids are running high fever. Pls contact chander 9940075528 and help with medical facility. #ChennaiFl…
1,Sat Dec 05 19:10:47 +0000 2015,#salute to all Volunteers.... You are the strength... #chennairises #chennai #proud #Chennaite #ChennaiFloods https://t.co/gbeCYozQ3b
2,Sat Dec 05 19:10:48 +0000 2015,"Hey, ushoak Please follow --&gt;&gt; https://t.co/FzvI7fNGQ4 for all news and updates Thanks https://t.co/lK72veH7NB"
3,Sat Dec 05 19:10:48 +0000 2015,"Hey, biomedikals Please follow --&gt;&gt; https://t.co/FzvI7fNGQ4 for all news and updates Thanks https://t.co/iHlfonnJmy"
4,Sat Dec 05 19:10:48 +0000 2015,"Hey, Buzzookaa Please follow --&gt;&gt; https://t.co/FzvI7fNGQ4 for all news and updates Thanks https://t.co/eUlhSje8HL"
5,Sat Dec 05 19:10:49 +0000 2015,"RT @Skype: International calls to landlines and mobiles in to Tamil Nadu now free on Skype, we hope this helps https://t.co/6QQ6xxEVXH #Che…"
6,Sat Dec 05 19:10:50 +0000 2015,RT @insan_divya: At this hour of tragedy St @Gurmeetramrahim ji is taking care of al #ChennaiFloods victims by providing physical &amp;Mental r…
7,Sat Dec 05 19:10:50 +0000 2015,"Hey, biomedikals Please follow --&gt;&gt; https://t.co/FzvI7fNGQ4 for all news and updates Thanks https://t.co/yBjHpfOapJ"
8,Sat Dec 05 19:10:50 +0000 2015,@Mazhaimagal @Mismail_Offl @sunitaiyer pls pass it on the groups . #ChennaiFloods #ChennaiMicro @dhanushkraja @ActorMadhavan .list of doctrs
9,Sat Dec 05 19:10:51 +0000 2015,RT @ActorMadhavan: #ChennaiFloods . Will send volunteers.. https://t.co/nESXBfuIho
10,Sat Dec 05 19:10:51 +0000 2015,RT @SunTV: வியாசர் பாடி ஜீவா நகர் சுற்றுவட்டாரப் பகுதிகளுக்கு தன்னார்வலர்கள் உதவி தேவை. #ChennaiFloods #ChennaiRainsHelp https://t.co/1C8Z8…
11,Sat Dec 05 19:10:51 +0000 2015,@Actor_Siddharth @RJ_Balaji  hope your team/friends can reach out to them. #ChennaiFloods #chennai https://t.co/wlA1MtORZ4
12,Sat Dec 05 19:10:52 +0000 2015,"Hey, bindeshpandya Please follow --&gt;&gt; https://t.co/FzvI7fNGQ4 for all news and updates Thanks https://t.co/2Fid61tXGY"
13,Sat Dec 05 19:10:54 +0000 2015,"RT @VettriTheatres: Hats off #ChennaiHeroes ...
#ChennaiFloods #ChennaiRains https://t.co/sKErSBWM73"
14,Sat Dec 05 19:10:55 +0000 2015,RT @gayathriraguram: Nice to other countries and other states from India helping our #ChennaiFloods  and #cuddalore https://t.co/08dIqDAbZG
15,Sat Dec 05 19:10:55 +0000 2015,"RT @alluarjun: #ChennaiFloods #manamadraskosam Telugu actors group sends out food , medical n other req. https://t.co/zMY23uXEpv"
16,Sat Dec 05 19:10:55 +0000 2015,RT @philotweepic: And this #Karmayogi Soldier governed by another Karmayogi Modi &amp; his Government. Not of Rahul Gandhi #ChennaiFloods https…
17,Sat Dec 05 19:10:56 +0000 2015,"Hey, dubeyamit911 Please follow --&gt;&gt; https://t.co/FzvI7fNGQ4 for all news and updates Thanks https://t.co/S272iGQ9GD"
18,Sat Dec 05 19:10:58 +0000 2015,We vote such people to power ? Time we did something about this ! What a fail !  https://t.co/Ps6l3mTMwh
